METRIC,composite,METRIC,P2020,METRIC,P2016,METRIC,S2020,METRIC,S2016,METRIC,G2018,METRIC,AG2018
Vf,0.581686,Vf,0.586590,Vf,0.590201,Vf,0.585649,Vf,0.579676,Vf,0.584089,Vf,0.561386
Sf,0.782889,Sf,0.797787,Sf,0.784060,Sf,0.801424,Sf,0.754396,Sf,0.758590,Sf,0.729799
S_V,13.309117,S_V,13.562382,S_V,13.329026,S_V,13.624208,S_V,12.824733,S_V,12.896032,S_V,12.406579
FPTP,14.000000,FPTP,14.000000,FPTP,14.000000,FPTP,14.000000,FPTP,14.000000,FPTP,14.000000,FPTP,14.000000
PR,10.000000,PR,10.000000,PR,10.000000,PR,10.000000,PR,10.000000,PR,10.000000,PR,10.000000
EG,-0.119517,EG,-0.124607,EG,-0.103658,EG,-0.130126,EG,-0.095044,EG,-0.090412,EG,-0.107027
PROP,-0.201203,PROP,-0.211197,PROP,-0.193859,PROP,-0.215775,PROP,-0.174720,PROP,-0.174501,PROP,-0.168413
BS_50,-0.030395,BS_50,-0.065995,BS_50,-0.033024,BS_50,-0.059129,BS_50,0.008906,BS_50,0.003698,BS_50,-0.020261
BV_50,-0.009336,BV_50,-0.020416,BV_50,-0.012159,BV_50,-0.016869,BV_50,0.002627,BV_50,0.001194,BV_50,-0.006548
GS,-0.029332,GS,-0.041054,GS,-0.035437,GS,-0.036264,GS,0.010596,GS,0.015600,GS,-0.025084
BS_V,-0.029316,BS_V,-0.024272,BS_V,-0.027979,BS_V,-0.030495,BS_V,-0.005813,BS_V,-0.004688,BS_V,-0.043834
DECL,-27.316003,DECL,-33.856499,DECL,-30.206418,DECL,-31.061054,DECL,-11.190722,DECL,-15.109211,DECL,-18.491578
MM,0.014576,MM,0.008080,MM,0.006521,MM,0.004634,MM,0.022424,MM,0.033033,MM,0.014214
TO,-0.008771,TO,-0.008838,TO,-0.008736,TO,-0.013181,TO,-0.007111,TO,-0.005059,TO,-0.008309
MM',0.023347,MM',0.016918,MM',0.015257,MM',0.017815,MM',0.029535,MM',0.038092,MM',0.022523
LO,0.027865,LO,0.010640,LO,0.021849,LO,0.026983,LO,0.064306,LO,0.057509,LO,0.026807
R,3.463130,R,3.439048,R,3.149193,R,3.519294,R,3.192882,R,3.075195,R,3.743505
r,1.708463,r,1.184133,r,1.649149,r,1.078962,r,2.377005,r,2.211922,r,2.963419
Rd,2.414350,Rd,1.596418,Rd,2.323165,Rd,1.424206,Rd,3.742387,Rd,3.416644,Rd,4.624650
Sb,0.782889,Sb,0.797787,Sb,0.784060,Sb,0.801424,Sb,0.754396,Sb,0.758590,Sb,0.729799
Ra,0.891445,Ra,0.898894,Ra,0.892030,Ra,0.900712,Ra,0.877198,Ra,0.879295,Ra,0.864899
Rb,0.391445,Rb,0.398894,Rb,0.392030,Rb,0.400712,Rb,0.377198,Rb,0.379295,Rb,0.364899
Va,0.621323,Va,0.645977,Va,0.643993,Va,0.628067,Va,0.575227,Va,0.588020,Va,0.609075
Vb,0.350812,Vb,0.343383,Vb,0.334157,Vb,0.344950,Vb,0.360467,Vb,0.354471,Vb,0.364118
AVG_DVf,0.644145,AVG_DVf,0.653423,AVG_DVf,0.660060,AVG_DVf,0.652536,AVG_DVf,0.630616,AVG_DVf,0.636597,AVG_DVf,0.623286
AVG_RVf,0.339911,AVG_RVf,0.324787,AVG_RVf,0.313696,AVG_RVf,0.348201,AVG_RVf,0.382249,AVG_RVf,0.367720,AVG_RVf,0.319600
L_Vf,0.560000,L_Vf,0.565000,L_Vf,0.570000,L_Vf,0.565000,L_Vf,0.555000,L_Vf,0.560000,L_Vf,0.540000
L_Sf,0.736847,L_Sf,0.764383,L_Sf,0.745466,L_Sf,0.770729,L_Sf,0.686178,L_Sf,0.696890,L_Sf,0.662129
U_Vf,0.605000,U_Vf,0.610000,U_Vf,0.615000,U_Vf,0.610000,U_Vf,0.600000,U_Vf,0.605000,U_Vf,0.585000
U_Sf,0.812225,U_Sf,0.818189,U_Sf,0.813569,U_Sf,0.820600,U_Sf,0.799481,U_Sf,0.799366,U_Sf,0.787163
