METRIC,composite,P2020,P2016,S2020,S2016,G2020,AG2020
Vf,0.494333,0.493144,0.480941,0.490852,0.470444,0.522875,0.501243
S_V,6.754260,6.642375,6.302155,6.599776,5.734810,7.856937,7.019488
Sf,6.754260,6.642375,6.302155,6.599776,5.734810,7.856937,7.019488
FPTP,7.000000,7.000000,6.000000,7.000000,6.000000,7.000000,7.000000
PR,7.000000,7.000000,7.000000,7.000000,7.000000,7.000000,7.000000
BS_50,0.002730,0.008811,0.005171,0.004048,0.001585,0.001676,0.001827
BV_50,0.001009,0.003466,0.002024,0.001442,0.000483,0.000597,0.000694
DECL,0.181298,1.229868,-0.025587,0.291509,-0.152085,0.061560,0.161607
GS,0.001177,0.003328,0.004679,0.001957,0.004557,0.005291,0.000815
EG,0.006219,0.011833,0.011728,0.010291,0.031259,-0.015460,0.001094
BS_V,0.002460,0.008402,0.001754,0.003297,-0.004432,0.003731,0.001822
PROP,0.011886,0.018689,0.030787,0.019439,0.060815,-0.038335,-0.000149
MM,0.007135,0.009050,0.008381,0.008814,0.007223,0.004401,0.006039
TO,0.000356,0.000055,0.000237,0.000481,0.001336,0.000184,0.000332
MM',0.006779,0.008995,0.008144,0.008332,0.005886,0.004217,0.005707
LO,-0.005574,-0.003823,-0.019359,-0.008912,-0.031250,0.022841,0.001311
R,3.097378,3.725885,2.615356,3.124996,3.057610,2.675838,1.119891
r,2.626454,2.429867,2.268337,2.649857,2.836393,2.816017,2.631181
Rd,3.168214,2.954611,2.773323,3.237224,3.642772,3.610523,3.188911
L_Vf,0.470000,0.470000,0.460000,0.470000,0.450000,0.500000,0.480000
L_Sf,0.414909,0.415226,0.395584,0.412385,0.343240,0.498324,0.443601
U_Vf,0.515000,0.515000,0.505000,0.515000,0.495000,0.545000,0.525000
U_Sf,0.539234,0.530771,0.507605,0.539506,0.482405,0.629923,0.568202
